14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1
14 15 10 11 12 13 8 9 6 7 2 3 4 5 0 1
14 15 12 13 6 7 4 5 10 11 8 9 2 3 0 1
14 15 10 11 6 7 2 3 12 13 8 9 4 5 0 1
14 15 6 7 12 13 4 5 10 11 2 3 8 9 0 1
14 15 6 7 10 11 2 3 12 13 4 5 8 9 0 1
14 12 15 13 10 11 8 9 6 7 4 5 2 3 0 1
14 10 15 11 12 13 8 9 6 7 2 3 4 5 0 1
14 12 15 13 6 7 4 5 10 11 8 9 2 3 0 1
14 10 15 11 6 7 2 3 12 13 8 9 4 5 0 1
14 6 15 7 12 13 4 5 10 11 2 3 8 9 0 1
14 6 15 7 10 11 2 3 12 13 4 5 8 9 0 1
14 15 12 10 13 11 8 9 6 7 4 5 2 3 0 1
14 15 10 12 11 13 8 9 6 7 2 3 4 5 0 1
14 15 12 6 13 7 4 5 10 11 8 9 2 3 0 1
14 15 10 6 11 7 2 3 12 13 8 9 4 5 0 1
14 15 6 12 7 13 4 5 10 11 2 3 8 9 0 1
14 15 6 10 7 11 2 3 12 13 4 5 8 9 0 1
14 12 15 10 13 11 8 9 6 7 4 5 2 3 0 1
14 10 15 12 11 13 8 9 6 7 2 3 4 5 0 1
14 12 15 6 13 7 4 5 10 11 8 9 2 3 0 1
14 10 15 6 11 7 2 3 12 13 8 9 4 5 0 1
14 6 15 12 7 13 4 5 10 11 2 3 8 9 0 1
14 6 15 10 7 11 2 3 12 13 4 5 8 9 0 1
14 12 15 13 10 8 11 9 6 7 4 5 2 3 0 1
14 10 15 11 12 8 13 9 6 7 2 3 4 5 0 1
14 12 15 13 6 4 7 5 10 11 8 9 2 3 0 1
14 10 15 11 6 2 7 3 12 13 8 9 4 5 0 1
14 6 15 7 12 4 13 5 10 11 2 3 8 9 0 1
14 6 15 7 10 2 11 3 12 13 4 5 8 9 0 1
14 12 15 10 13 8 11 9 6 7 4 5 2 3 0 1
14 10 15 12 11 8 13 9 6 7 2 3 4 5 0 1
14 12 15 6 13 4 7 5 10 11 8 9 2 3 0 1
14 10 15 6 11 2 7 3 12 13 8 9 4 5 0 1
14 6 15 12 7 4 13 5 10 11 2 3 8 9 0 1
14 6 15 10 7 2 11 3 12 13 4 5 8 9 0 1
14 12 10 15 13 8 11 9 6 7 4 5 2 3 0 1
14 10 12 15 11 8 13 9 6 7 2 3 4 5 0 1
14 12 6 15 13 4 7 5 10 11 8 9 2 3 0 1
14 10 6 15 11 2 7 3 12 13 8 9 4 5 0 1
14 6 12 15 7 4 13 5 10 11 2 3 8 9 0 1
14 6 10 15 7 2 11 3 12 13 4 5 8 9 0 1
14 12 10 15 8 13 11 9 6 7 4 5 2 3 0 1
14 10 12 15 8 11 13 9 6 7 2 3 4 5 0 1
14 12 6 15 4 13 7 5 10 11 8 9 2 3 0 1
